Zipcode,Census_tract
19101,42101036900
19102,42101000804
19102,42101001101
19102,42101012500
19102,42101001202
19102,42101000700
19102,42101000300
19102,42101000402
19103,42101001201
19103,42101000801
19103,42101000700
19103,42101001202
19103,42101000803
19103,42101000804
19103,42101012500
19103,42101000300
19103,42101000401
19103,42101000402
19104,42101011100
19104,42101010600
19104,42101009100
19104,42101010500
19104,42101010700
19104,42101008602
19104,42101011000
19104,42101010800
19104,42101036900
19104,42101009200
19104,42101008601
19104,42101010900
19104,42101009000
19104,42101007700
19104,42101008801
19104,42101007800
19104,42101980000
19104,42101008702
19104,42101007900
19104,42101008701
19104,42101008802
19105,42101000500
19106,42101000200
19106,42101036700
19106,42101036600
19106,42101001002
19106,42101001001
19106,42101000600
19106,42101000902
19106,42101000500
19106,42101000100
19106,42101001102
19107,42101000200
19107,42101000901
19107,42101001101
19107,42101000600
19107,42101037600
19107,42101000500
19107,42101001102
19107,42101000902
19108,42101037600
19109,42101000600
19110,42101000700
19111,42101033900
19111,42101033800
19111,42101033500
19111,42101030600
19111,42101039000
19111,42101980200
19111,42101033702
19111,42101030501
19111,42101033600
19111,42101031000
19111,42101030900
19111,42101034100
19111,42101030700
19111,42101034000
19111,42101030800
19111,42101034200
19111,42101031101
19111,42101030502
19111,42101031102
19112,42101037300
19112,42101980900
19112,42101005000
19113,42045980000
19113,42045403701
19114,42101034802
19114,42101035301
19114,42101035200
19114,42101035100
19114,42101980300
19114,42101036203
19114,42101034900
19114,42101034600
19114,42101036202
19114,42101034801
19114,42101035302
19114,42101034803
19114,42017100103
19114,42101036201
19115,42101980200
19115,42101036000
19115,42101035602
19115,42101035701
19115,42101034502
19115,42101034400
19115,42101034501
19115,42101035702
19115,42101035500
19115,42101035601
19115,42101035900
19116,42101035800
19116,42101035900
19116,42101036502
19116,42101036000
19116,42101035702
19116,42101036501
19116,42101036400
19116,42101035701
19118,42101023100
19118,42091210300
19118,42101025700
19118,42101038800
19118,42101038400
19118,42101038600
19118,42101038700
19118,42101980100
19118,42101025600
19118,42101038500
19119,42101023600
19119,42101025500
19119,42101023700
19119,42101038800
19119,42101980100
19119,42101038600
19119,42101025200
19119,42101025300
19119,42101025600
19119,42101023500
19119,42101025400
19119,42101038900
19120,42101027500
19120,42101027402
19120,42101028500
19120,42101027300
19120,42101028200
19120,42101029000
19120,42101028600
19120,42101030501
19120,42101027401
19120,42101027000
19120,42101027100
19120,42101028800
19120,42101038300
19120,42101030502
19120,42101028700
19120,42101029100
19120,42101027200
19120,42101028901
19120,42101028400
19120,42101028902
19121,42101015102
19121,42101013900
19121,42101015300
19121,42101016901
19121,42101016902
19121,42101980000
19121,42101014900
19121,42101016702
19121,42101016701
19121,42101015101
19121,42101014000
19121,42101016800
19121,42101015200
19121,42101014700
19121,42101013700
19121,42101013800
19121,42101014800
19122,42101015600
19122,42101016200
19122,42101016100
19122,42101015700
19122,42101014100
19122,42101037700
19122,42101014500
19122,42101014400
19122,42101016500
19122,42101016600
19122,42101014600
19123,42101013100
19123,42101014100
19123,42101013200
19123,42101037600
19123,42101036600
19123,42101036700
19123,42101014200
19123,42101014400
19124,42101029300
19124,42101019000
19124,42101028901
19124,42101018300
19124,42101029100
19124,42101032100
19124,42101030100
19124,42101029800
19124,42101031900
19124,42101039000
19124,42101029400
19124,42101030200
19124,42101029200
19124,42101028902
19124,42101019100
19124,42101030000
19124,42101029900
19124,42101038000
19124,42101031800
19124,42101038300
19124,42101038200
19125,42101016100
19125,42101017601
19125,42101016300
19125,42101014300
19125,42101037800
19125,42101015700
19125,42101017900
19125,42101018001
19125,42101016000
19125,42101017702
19125,42101014400
19125,42101015800
19125,42101017800
19125,42101014200
19126,42101027200
19126,42101026700
19126,42101026800
19126,42101027500
19126,42101027100
19126,42101027000
19126,42101027700
19126,42101026600
19126,42101026900
19127,42101021600
19127,42101021500
19127,42101021400
19127,42101020900
19127,42101021000
19128,42101022000
19128,42101021700
19128,42091210300
19128,42101021300
19128,42091203104
19128,42101021000
19128,42101021500
19128,42101021400
19128,42101021100
19128,42101021200
19128,42101020900
19128,42101021800
19128,42091203105
19128,42101021900
19128,42101038400
19128,42101021600
19128,42101980100
19129,42101020700
19129,42101017100
19129,42101020800
19129,42101017000
19129,42101020600
19129,42101980100
19129,42101020500
19129,42101020200
19130,42101013601
19130,42101980000
19130,42101012500
19130,42101013700
19130,42101013402
19130,42101013602
19130,42101013401
19130,42101013500
19130,42101013800
19130,42101014000
19130,42101013300
19130,42101013900
19131,42101010400
19131,42101010300
19131,42101011200
19131,42101012000
19131,42101012100
19131,42101037500
19131,42101011400
19131,42101011300
19131,42091204300
19131,42101980000
19131,42101010500
19131,42101011700
19131,42101011900
19131,42101012204
19131,42101012201
19131,42101009500
19131,42101011800
19131,42101010200
19131,42101011100
19131,42101012203
19132,42101017100
19132,42101020000
19132,42101980000
19132,42101016902
19132,42101017000
19132,42101016701
19132,42101017400
19132,42101017201
19132,42101020200
19132,42101017202
19132,42101016800
19132,42101017300
19132,42101016600
19132,42101020101
19132,42101016901
19132,42101016702
19132,42101015200
19133,42101016300
19133,42101017400
19133,42101016400
19133,42101019900
19133,42101016200
19133,42101017601
19133,42101017500
19133,42101016600
19133,42101017602
19133,42101019501
19133,42101016500
19133,42101020000
19133,42101016100
19134,42101017702
19134,42101019200
19134,42101037900
19134,42101018800
19134,42101019100
19134,42101038200
19134,42101019502
19134,42101017701
19134,42101037800
19134,42101017900
19134,42101017602
19134,42101018001
19134,42101019000
19134,42101019501
19134,42101018002
19134,42101038300
19134,42101017800
19134,42101017601
19135,42101031900
19135,42101032300
19135,42101033000
19135,42101032100
19135,42101038100
19135,42101031700
19135,42101032600
19135,42101032500
19135,42101032000
19135,42101031600
19135,42101031501
19136,42101033102
19136,42101989100
19136,42101980200
19136,42101034801
19136,42101034702
19136,42101033000
19136,42101038100
19136,42101034900
19136,42101032900
19136,42101033101
19136,42101033200
19137,42101029800
19137,42101038100
19137,42101038200
19137,42101038000
19137,42101037800
19137,42101018300
19137,42101037900
19137,42101018400
19138,42101027902
19138,42101038900
19138,42101026302
19138,42101024700
19138,42101025200
19138,42101027901
19138,42101024900
19138,42101026500
19138,42101026600
19138,42101027700
19138,42101026700
19138,42101026400
19138,42101024800
19139,42101008302
19139,42101008400
19139,42101009600
19139,42101010500
19139,42101980800
19139,42101008602
19139,42101008601
19139,42101009500
19139,42101008301
19139,42101010300
19139,42101009200
19139,42101010400
19139,42101010200
19139,42101009300
19139,42101009400
19139,42101010000
19139,42101008500
19140,42101028700
19140,42101019900
19140,42101020102
19140,42101020200
19140,42101980500
19140,42101020101
19140,42101028100
19140,42101020300
19140,42101020400
19140,42101028000
19140,42101019502
19140,42101020500
19140,42101017300
19140,42101028800
19140,42101019501
19140,42101017100
19140,42101019800
19140,42101017500
19140,42101019700
19140,42101028300
19140,42101020000
19140,42101038300
19140,42101028400
19141,42101028100
19141,42101026800
19141,42101027901
19141,42101028000
19141,42101028200
19141,42101027600
19141,42101027000
19141,42101027902
19141,42101027700
19141,42101028400
19141,42101027800
19141,42101028300
19142,42101006400
19142,42101006200
19142,42101006700
19142,42101006300
19142,42101006100
19142,42101006600
19142,42101006000
19142,42101006500
19142,42101980900
19142,42101005500
19143,42101008500
19143,42101008302
19143,42101007700
19143,42101008200
19143,42101008601
19143,42101007101
19143,42101007102
19143,42101980900
19143,42101008400
19143,42101007300
19143,42101007000
19143,42101007900
19143,42101006900
19143,42101008000
19143,42101007800
19143,42101007400
19143,42101008301
19143,42101008101
19143,42101007200
19143,42101006500
19143,42101008102
19143,42101006700
19143,42101006600
19144,42101024400
19144,42101023800
19144,42101027902
19144,42101024100
19144,42101024500
19144,42101024200
19144,42101024800
19144,42101980100
19144,42101023600
19144,42101023500
19144,42101024000
19144,42101023900
19144,42101024600
19144,42101020600
19144,42101028000
19144,42101038900
19144,42101020500
19144,42101023700
19144,42101020400
19144,42101025200
19144,42101024300
19144,42101024700
19144,42101020800
19145,42101003002
19145,42101980900
19145,42101003100
19145,42101003001
19145,42101980600
19145,42101003901
19145,42101003300
19145,42101003702
19145,42101003800
19145,42101037300
19145,42101003200
19145,42101003600
19145,42101003902
19145,42101003701
19146,42101002000
19146,42101001300
19146,42101002200
19146,42101003001
19146,42101001900
19146,42101002900
19146,42101001202
19146,42101002100
19146,42101001201
19146,42101001400
19146,42101003002
19146,42101003300
19146,42101980900
19146,42101003100
19146,42101003200
19147,42101002801
19147,42101002802
19147,42101002300
19147,42101001700
19147,42101001002
19147,42101001800
19147,42101001102
19147,42101001500
19147,42101002702
19147,42101002500
19147,42101980700
19147,42101001001
19147,42101036600
19147,42101002701
19147,42101002400
19147,42101002900
19147,42101001600
19147,42101001101
19148,42101002702
19148,42101002802
19148,42101980600
19148,42101037200
19148,42101004001
19148,42101004102
19148,42101004002
19148,42101002701
19148,42101002900
19148,42101002801
19148,42101980700
19148,42101037300
19148,42101004101
19148,42101004201
19148,42101004202
19149,42101031000
19149,42101031102
19149,42101031501
19149,42101033101
19149,42101031300
19149,42101033200
19149,42101031101
19149,42101031200
19149,42101031402
19149,42101031600
19149,42101031502
19149,42101031700
19149,42101031800
19149,42101039000
19149,42101033500
19149,42101031401
19149,42101030900
19149,42101033400
19150,42091210500
19150,42101026302
19150,42101025900
19150,42091202401
19150,42101026301
19150,42101025600
19150,42101025400
19150,42101025800
19150,42101025500
19150,42101026000
19150,42101038900
19150,42101026200
19150,42101026400
19150,42101026100
19150,42091202500
19151,42101009600
19151,42101011300
19151,42101011500
19151,42101037500
19151,42101011200
19151,42101011400
19151,42101010100
19151,42101980800
19151,42101009500
19151,42101009802
19151,42101010000
19151,42101009801
19152,42101034702
19152,42101033701
19152,42101033300
19152,42101033400
19152,42101034701
19152,42101033600
19152,42101033200
19152,42101033702
19152,42101033500
19152,42101980200
19153,42101005400
19153,42101006000
19153,42101980400
19153,42101005500
19153,42101980900
19153,42045980000
19153,42101005600
19154,42101036100
19154,42101036302
19154,42101980300
19154,42101036203
19154,42101036201
19154,42101036202
19154,42101036400
19154,42101036301
19154,42101036303
